timestamp,instance_id,algorithm,weight,gamma,run_idx,horizon_days,shift_hours,shift_fte,cpsat_time_limit_s,success,error_message,makespan_days,runtime_ms,best_bound_days,optimality_gap,gap_vs_cpsat,gap_vs_lower_bound
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.25,0.0,1,30,14,6,,Y,,12,19,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.5,0.0,1,30,14,6,,Y,,12,22,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.75,0.0,1,30,14,6,,Y,,12,18,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,1.0,0.0,1,30,14,6,,Y,,12,14,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.0,0.5,1,30,14,6,,Y,,11,24,,,0.100000,0.100000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.25,0.5,1,30,14,6,,Y,,11,22,,,0.100000,0.100000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.5,0.5,1,30,14,6,,Y,,11,26,,,0.100000,0.100000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,0.75,0.5,1,30,14,6,,Y,,12,20,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,C_ENHANCED,1.0,0.5,1,30,14,6,,Y,,12,10,,,0.200000,0.200000
2026-05-24T09:39:39,MOD_D,B_CPSAT,,,1,30,14,6,600,Y,,10,1084,10,0.0,0.000000,0.000000
2026-05-24T09:39:40,MOD_D,B_CPSAT,,,2,30,14,6,600,Y,,10,1059,10,0.0,0.000000,0.000000
2026-05-24T09:39:42,MOD_D,B_CPSAT,,,3,30,14,6,600,Y,,10,1047,10,0.0,0.000000,0.000000
